TAG,shipname,definition,hull,version_name,pride_of_the_fleet,location,task_force_name,naval_base,fleet_name
CHI,CNS Qi 20,submarine,ship_hull_submarine_2,U-Boot Class VIIC/41,,7014,103 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Shenyang,battleship,ship_hull_pre_dreadnought_0,Shenyang Class,,10000,2nd Task Force,10000,1st Squad Fleet
CHI,CNS Changsha,battleship,ship_hull_pre_dreadnought_0,Shenyang Class,,10000,2nd Task Force,10000,1st Squad Fleet
CHI,CNS Chóngqìng,battleship,ship_hull_pre_dreadnought_0,Chóngqìng Class,,10000,2nd Task Force,10000,1st Squad Fleet
CHI,CNS Hénán,battleship,ship_hull_pre_dreadnought_0,Hénán Class,,10000,2nd Task Force,10000,1st Squad Fleet
CHI,CNS Hebei,battleship,ship_hull_pre_dreadnought_0,Hénán Class,,10000,2nd Task Force,10000,1st Squad Fleet
CHI,CNS Hai Tien,heavy_cruiser,ship_hull_cruiser_defenced_cruiser,Hai Tien Class,,10000,3rd Task Force,10000,1st Squad Fleet
CHI,CNS Peng Chao Hai,light_cruiser,ship_hull_cruiser_coastal_defense_ship_1,Peng Chao Hai Class,,10000,3rd Task Force,10000,1st Squad Fleet
CHI,CNS Chin Ou,light_cruiser,ship_hull_cruiser_coastal_defense_ship_1,Chin Ou Class,,10000,3rd Task Force,10000,1st Squad Fleet
CHI,CNS Hai Yung,light_cruiser,ship_hull_cruiser_defenced_cruiser,Hai Yung Class,,7014,4th Task Force,10000,1st Squad Fleet
CHI,CNS Hai Shew,light_cruiser,ship_hull_cruiser_defenced_cruiser,Hai Yung Class,,7014,4th Task Force,10000,1st Squad Fleet
CHI,CNS Hai Shen,light_cruiser,ship_hull_cruiser_defenced_cruiser,Hai Yung Class,,7014,4th Task Force,10000,1st Squad Fleet
CHI,CNS Fei Yuan,light_cruiser,ship_hull_cruiser_defenced_cruiser,Fei Yuan Class,,7014,4th Task Force,10000,1st Squad Fleet
CHI,CNS Chao Ho,light_cruiser,ship_hull_cruiser_defenced_cruiser,Chao Ho Class,,7014,4th Task Force,10000,1st Squad Fleet
CHI,CNS Ying Swei,light_cruiser,ship_hull_cruiser_defenced_cruiser,Chao Ho Class,,7014,4th Task Force,10000,1st Squad Fleet
CHI,CNS Chiangtzu,light_cruiser,ship_hull_cruiser_1,Chiangtzu Class,,7014,5th Task Force,10000,1st Squad Fleet
CHI,CNS Fei Ting,light_cruiser,ship_hull_cruiser_0_transport_remodeling,Fei Ting Class,,7014,6th Task Force,10000,1st Squad Fleet
CHI,CNS Fei Ying,light_cruiser,ship_hull_cruiser_0_transport_remodeling,Fei Ying Class,,7014,6th Task Force,10000,1st Squad Fleet
CHI,CNS Ning Hai,light_cruiser,ship_hull_cruiser_scout_cruiser,Ning Hai Class,,7014,6th Task Force,10000,1st Squad Fleet
CHI,CNS Ping Hai,light_cruiser,ship_hull_cruiser_scout_cruiser,Ning Hai Class,,7014,6th Task Force,10000,1st Squad Fleet
CHI,CNS Hai Hola,destroyer,ship_hull_light_2,Hai Hola Class,,7014,7th Task Force,10000,1st Squad Fleet
CHI,CNS Hai Lung,destroyer,ship_hull_light_2,Hai Lung Class,,7014,7th Task Force,10000,1st Squad Fleet
CHI,CNS Hai Nju,destroyer,ship_hull_light_2,Hai Nju Class,,7014,7th Task Force,10000,1st Squad Fleet
CHI,CNS Fu Bo,destroyer,ship_hull_light_0,Chang Feng Class,,7014,7th Task Force,10000,1st Squad Fleet
CHI,CNS Fei Yuen,destroyer,ship_hull_light_0,Chang Feng Class,,7014,7th Task Force,10000,1st Squad Fleet
CHI,CNS Chen Tung,destroyer,ship_hull_light_1,Chen Tung Class,,7014,7th Task Force,10000,1st Squad Fleet
CHI,CNS Chen Hsi,destroyer,ship_hull_light_1,Chen Tung Class,,7014,7th Task Force,10000,1st Squad Fleet
CHI,CNS Chen Nan,destroyer,ship_hull_light_1,Chen Tung Class,,7014,7th Task Force,10000,1st Squad Fleet
CHI,CNS Chen Pei,destroyer,ship_hull_light_1,Chen Tung Class,,7014,7th Task Force,10000,1st Squad Fleet
CHI,CNS Yung Hsiang,frigate,ship_hull_light_monitor,Yung Hsiang Class,,10000,8th Task Force,10000,1st Squad Fleet
CHI,CNS Yung Feng,frigate,ship_hull_light_monitor,Yung Hsiang Class,,10000,8th Task Force,10000,1st Squad Fleet
CHI,CNS Yongjian,frigate,ship_hull_light_monitor,Yongjian Class,,10000,8th Task Force,10000,1st Squad Fleet
CHI,CNS Yongji,frigate,ship_hull_light_monitor,Yongjian Class,,10000,8th Task Force,10000,1st Squad Fleet
CHI,CNS Yi Xian,frigate,ship_hull_light_monitor,Yi Xian Class,,10000,8th Task Force,10000,1st Squad Fleet
CHI,CNS Kuan Chuan,frigate,ship_hull_light_monitor,Kuan Chuan Class,,10000,8th Task Force,10000,1st Squad Fleet
CHI,CNS An Feng,frigate,ship_hull_light_monitor,Kuan Chuan Class,,10000,8th Task Force,10000,1st Squad Fleet
CHI,CNS Lien Ching,frigate,ship_hull_light_monitor,Kuan Chuan Class,,10000,8th Task Force,10000,1st Squad Fleet
NAF,MRL Alberto di Giussano,light_cruiser,ship_hull_cruiser_1,Alberto di Giussano Class,,1130,La principale flotta libica,1130,Flotta principale
NAF,MRL Eritrea,light_cruiser,ship_hull_cruiser_1,Eritrea Class,,1130,La principale flotta libica,1130,Flotta principale
NAF,MRL Giuseppe Sirtori,destroyer,ship_hull_light_1_old,Giuseppe Sirtori Class,,1130,La principale flotta libica,1130,Flotta principale
NAF,MRL Vincenzo Giordano Orsini,destroyer,ship_hull_light_1_old,Giuseppe Sirtori Class,,1130,La principale flotta libica,1130,Flotta principale
NAF,MRL Francesco Stucco,destroyer,ship_hull_light_1_old,Giuseppe Sirtori Class,,1130,La principale flotta libica,1130,Flotta principale
NAF,MRL Polluce,destroyer,ship_hull_large_frigate,Alcione Class,,1130,La principale flotta libica,1130,Flotta principale
NAF,MRL Pleiadi,destroyer,ship_hull_large_frigate,Alcione Class,,1130,La principale flotta libica,1130,Flotta principale
NAF,MRL Dardo,destroyer,ship_hull_light_1,Freccia Class,,1149,Prima flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Climene,destroyer,ship_hull_large_frigate,Climene Class,,1149,Prima flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Lira,destroyer,ship_hull_large_frigate,Alcione Class,,1149,Prima flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Canopo,destroyer,ship_hull_large_frigate,Climene Class,,1149,Prima flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Cassiopea,destroyer,ship_hull_large_frigate,Climene Class,,1149,Prima flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Castore,destroyer,ship_hull_large_frigate,Climene Class,,1149,Prima flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Centauro,destroyer,ship_hull_large_frigate,Climene Class,,1149,Prima flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Cigno,destroyer,ship_hull_large_frigate,Climene Class,,1149,Prima flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Freccia,destroyer,ship_hull_light_1,Freccia Class,,1130,Seconda flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Lupo,destroyer,ship_hull_large_frigate,Alcione Class,,1130,Seconda flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Aldebaran,destroyer,ship_hull_large_frigate,Perseo Class,,1130,Seconda flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Altair,destroyer,ship_hull_large_frigate,Perseo Class,,1130,Seconda flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Andromeda,destroyer,ship_hull_large_frigate,Perseo Class,,1130,Seconda flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Antares,destroyer,ship_hull_large_frigate,Perseo Class,,1130,Seconda flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Sagittario,destroyer,ship_hull_large_frigate,Perseo Class,,1130,Seconda flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Saetta,destroyer,ship_hull_light_1,Freccia Class,,1130,Terza flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Sirio,destroyer,ship_hull_large_frigate,Perseo Class,,1130,Terza flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Vega,destroyer,ship_hull_large_frigate,Perseo Class,,1130,Terza flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Airone,destroyer,ship_hull_large_frigate,Alcione Class,,1130,Terza flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Alcione,destroyer,ship_hull_large_frigate,Alcione Class,,1130,Terza flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Aretusa,destroyer,ship_hull_large_frigate,Alcione Class,,1130,Terza flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Ariel,destroyer,ship_hull_large_frigate,Alcione Class,,1130,Terza flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Pallade,destroyer,ship_hull_large_frigate,Alcione Class,,1130,Terza flotta di ricognizione libica,1130,Flotta principale
NAF,MRL Strale,destroyer,ship_hull_light_1,Freccia Class,,1149,Quarta Flotta di ricognizione Libia,1130,Flotta principale
NAF,MRL Calipso,destroyer,ship_hull_large_frigate,Alcione Class,,1149,Quarta Flotta di ricognizione Libia,1130,Flotta principale
NAF,MRL Calliope,destroyer,ship_hull_large_frigate,Alcione Class,,1149,Quarta Flotta di ricognizione Libia,1130,Flotta principale
NAF,MRL Circe,destroyer,ship_hull_large_frigate,Alcione Class,,1149,Quarta Flotta di ricognizione Libia,1130,Flotta principale
NAF,MRL Clio,destroyer,ship_hull_large_frigate,Alcione Class,,1149,Quarta Flotta di ricognizione Libia,1130,Flotta principale
NAF,MRL Libra,destroyer,ship_hull_large_frigate,Alcione Class,,1149,Quarta Flotta di ricognizione Libia,1130,Flotta principale
NAF,MRL Lince,destroyer,ship_hull_large_frigate,Alcione Class,,1149,Quarta Flotta di ricognizione Libia,1130,Flotta principale
NAF,MRL Partenope,destroyer,ship_hull_large_frigate,Alcione Class,,1149,Quarta Flotta di ricognizione Libia,1130,Flotta principale
