Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate,Displacement,Country,YEAR
,,Mount McKinley,amphibious command ship,,,,7350,USA,
,,Chao Ho,protected cruiser,,,,2115,Hellenic Navy,
,,Duca d'Aosta,CL,,,,8450,Regia Marina,
,,Emden,CL,,,,5600,GER,
,,Emerald,CL,,,,7580,ENG,
,,Émile Bertin,CL,,,,5886,French Navy  Free French Naval Forces,
,,Empire,merchant aircraft carrier,,,,14250,ENG,
,,Empire,merchant aircraft carrier,,,,11000,ENG,
,,Empire,merchant aircraft carrier,,,,8000,ENG,
,,Empire,merchant aircraft carrier,,,,9000,ENG,
,,Ruler,CVE,,,,7800,ENG,
,,Buckley,DE,,,,1400,USA,
,,Yorktown,CV,,,,25100,USA,
,,Erebus,BM,,,,8000,ENG,
,,Eritrea,SL,,,,2200,Regia Marina,
,,Hunt,DE,,,,1050,Royal Norwegian Navy,
,,Duca d'Aosta,CL,,,,8750,Regia Marina,
,,Admiralen,DD,,,,1337,Netherlands,
,,York,CA,,,,8390,ENG,
,,Explorer,survey ship,,,,1800,United States Coast and Geodetic Survey,
,,E,DD,,,,1405,Royal Navy  Royal Canadian Navy,
,,R,DD,,,,1705.0,ENG,
,,Montecuccoli,CL,,,,3184.0,Regia Marina,
,,Rainbow,SS,,,,2060.0,ENG,
,,Ruler,CVE,,,,11400.0,ENG,
,,Rajputana,armed merchant cruiser,,,,16568.0,ENG,
,,Bagley,DD,,,,1500.0,USA,
,,Ramb I,Armed merchant cruiser,,,,3667.0,Regia Marina,
,,Ramb II,Armed merchant cruiser,,,,3667.0,Regia Marina,
,,Ramb III,Armed merchant cruiser,,,,3667.0,Regia Marina,
,,Revenge,BB,,,,29150.0,ENG,
,,Basset,AM,,,,529.0,Royal Indian Navy,
,,Wickes,minelayer destroyer,,,,1090.0,USA,
,,Essex,CV,,,,27100.0,USA,
,,Ruler,CVE,,,,7800.0,ENG,
,,Ranger,CV,,,,14500.0,USA,
,,Rapana,merchant aircraft carrier,,,,16000.0,ENG,
,,Ruler,CVE,,,,14630.0,ENG,
,,Rawalpindi,Armed merchant cruiser,,,,16697.0,ENG,
,,Gnevny,DD,,,,1695.0,Soviet Navy,
,,Rechinul,SS,,,,585.0,Royal Romanian Navy,
,,Captain,FF,,,,1300.0,ENG,
,,Mahan,DD,,,,1450.0,USA,
,,Flower,K,,,,925.0,Free French Naval Forces,
,,Renown,battlecruiser,,,,32000.0,ENG,
,,Clemson,DD,,,,1200.0,USA,
,,Benham,DD,,,,1500.0,USA,
,,River,FF,,,,1445.0,Royal Navy  Royal Canadian Navy,
,,Richelieu,BB,,,,35000.0,French Navy  Free French Naval Forces,
,,Town,DD,,,,1060.0,Royal Navy  Royal Canadian Navy  Soviet Navy,
,,Bahia,CL,,,,3100.0,Brazilian Navy,
,,Serrano,DD,,,,1090.0,CHL,
,,Rivadavia,dreadnought,,,,27720.0,Argentine Navy,
,,Kaichū V type,training submarine,,,,1030.0,JPN,
,,Kaichū VI type,SS,,,,1200.0,JPN,
,,Kaichū VII type,SS,,,,1447.0,JPN,
,,Type L3,training submarine,,,,1102.7,JPN,
,,Type L4,SS,,,,1301.0,JPN,
,,Ko type,coastal submarine,,,,782.0,JPN,
,,Type IXC,SS,,,,1213.0,JPN,
,,Type IXC/40,SS,,,,1237.0,JPN,
,,Roberts,BM,,,,8000.0,ENG,
,,Gleaves,DD,,,,1630.0,USA,
,,Nelson,BB,,,,34000.0,ENG,
,,Littorio,BB,,,,41000.0,Regia Marina,
,,Rosario,GB,,,,1055.0,Argentine Navy,
,,Flower,K,,,,925.0,Royal Norwegian Navy,
,,Flower modified,K,,,,1015.0,ENG,
,,Flower,K,,,,925.0,FRA,
,,Revenge,BB,,,,29150.0,Royal Navy  Soviet Navy,
,,H,SS,,,,441.0,CHL,
,,Ruler,CVE,,,,15390.0,ENG,
,,Ryūhō,CVL,,,,13360.0,JPN,
,,Ryūjō,CVL,,,,10600.0,JPN,
,,S,SS,,,,814,ENG,
,,A,DD,,,,1337,Royal Canadian Navy,
,,Matsu,DD,,,,1262,JPN,
,,Town,DD,,,,1190,Royal Navy  Royal Canadian Navy,
,,S,SS,,,,670,ENG,
,,Pensacola,CA,,,,9100,USA,
,,Butler,DE,,,,1370,USA,
,,San Giorgio,CA,,,,10167,Regia Marina,
,,Sangamon,CVE,,,,24275,USA,
,,Minas Geraes,BB,,,,19200,Brazilian Navy,
,,S,DD,,,,1710,ENG,
,,Temes,river monitor,,,,440,Royal Yugoslav Navy,
,,Scharnhorst,BB,,,,32000,GER,
,,Deutschland,BB,,,,14218,GER,
,,Capitani Romani,light cruiser (also known as exploratori oceanici),,,,3750,Regia Marina,
,,Dido,anti-aircraft cruiser,,,,5600,ENG,
,,Ruler,CVE,,,,14400,ENG,
,,Clemson,DD,,,,1250,USA,
,,Sendai,CL,,,,5195,JPN,
,,Enlarged Admiral Hipper,CA,,,,14680,GER,
,,Orzeł,SS,,,,1100,Polish Navy,
,,Shinano,CV,,,,64800,JPN,
,,Shin'yō,CV,,,,17500,JPN,
,,Shōkaku,CV,,,,25675,JPN,
,,V,DD,,,,1710,Royal Canadian Navy,
,,Sirène,SS,,,,599,FRA,
,,Skagerak,CM,,,,1281,GER,
,,A,DD,,,,1350,Royal Canadian Navy,
,,Ruler,CVE,,,,8333,ENG,
,,Flores,GB,,,,1457,Royal Netherlands Navy,
,,De Zeven Provinciën,coastal defence ship,,,,6530,Royal Netherlands Navy  Imperial Japanese Navy,
,,Anchusa,SL,,,,1290,Egypt,
,,Cannon,DD,,,,1240,Free French Naval Forces,
,,Sōryū,CV,,,,15900,JPN,
,,Southampton,CL,,,,9100,ENG,
,,Pegasus,fighter catapult ship,,,,5155,ENG,
,,Cleveland,CL,,,,10160,USA,
,,Thonburi,coastal defence ship,,,,2350,Royal Thai Navy,
,,Town,DD,,,,1190,Royal Navy  Royal Norwegian Navy  Soviet Navy,
,,Clemson,DD,,,,1190,Royal Canadian Navy,
,,Clemson,DD,,,,1216,Royal Canadian Navy,
,,C,DD,,,,1375,Royal Canadian Navy,
,,Attacker,CVE,,,,14400,ENG,
,,Clemson,DD,,,,1200,United States Navy  Imperial Japanese Navy,
,,Stier,MC,,,,11000,GER,
,,S,DD,,,,2400,Royal Norwegian Navy,
,,Dunkerque,BB,,,,26500,FRA,
,,Attacker,CVE,,,,10000,ENG,
,,Suffren,CA,,,,9940,French Navy  Free French Naval Forces,
,,Java,CL,,,,6670,Royal Netherlands Navy,
,,Mogami,CA,,,,15900,JPN,
,,S,DD,,,,1710,Royal Norwegian Navy,
,,Sverige,coastal defence ship,,,,6852,Swedish Navy,
,,Loch,FF,,,,1370,Royal Navy  South African Navy,
,,Clemson,DD,,,,1200,USA,
,,Edsall,DE,,,,1250,USA,
,,Rudderow,DE,,,,1450,USA,
,,Attacker,CVE,,,,8200,ENG,
,,Danae,C,,,,4850,ENG,
,,Buckley,DE,,,,1140,United States Navy  Republic of China Navy,
,,D,DD,,,,1375,Royal Navy  Royal Canadian Navy,
,,Allen M. Sumner,DD,,,,2200,USA,
,,John C. Butler,DE,,,,1350,USA,
,,Gearing,DD,,,,2250,USA,
,,Wickes,DD,,,,1150,USA,
,,De Ruyter,C,,,,7822,Netherlands,
,,Deutschland,CA,,,,12100,GER,
,,County,C,,,,9750,ENG,
,,Flower modified,K,,,,1015,Royal Navy  United States Navy,
,,Admiralty,destroyer flotilla leader,,,,1610,ENG,
,,Evarts,DE,,,,1250,USA,
,,Drache,CM,,,,1870,GER,
,,Danae,C,,,,4850,Royal Navy  Polish Navy,
,,Enns,river monitor,,,,536,Royal Yugoslav Navy,
,,Drazki,torpedo boat,,,,97,Bulgarian Navy,
,,Dristigheten,seaplane carrier,,,,3445,Swedish Navy,
,,Sverige,coastal defence ship,,,,7125,Swedish Navy,
,,Gato,SS,,,,"1,525 surfaced",United States,
,,Dubrovnik,DD,,,,1210,Royal Yugoslav Navy,
,,Duguay-Trouin,CL,,,,7250,French Navy  Free French Naval Forces,
,,Andrea Doria,BB,,,,25920,Regia Marina,
,,Shoreham,SL,,,,1060,ENG,
,,Dunvegan Castle,Armed merchant cruiser,,,,15007,ENG,
,,Suffren,CA,,,,10000,FRA,
,,Duquesne,CA,,,,10000,French Navy  Free French Naval Forces,
,,Fidelity,Special Service Ship,,,,2456,ENG,
,,Folkestone,SL,,,,1045,ENG,
,,F,DD,,,,1405,Royal Navy  Royal Canadian Navy,
,,V,DD,,,,1405,Royal Navy  Royal Canadian Navy,
,,Edsall,DE,,,,1200,USA,
,,H,SS,,,,441,CHL,
,,Fridtjof Nansen,patrol ship,,,,1575,Royal Norwegian Navy,
,,Fu An,GB,,,,1900,Republic of China Navy,
,,Fubuki,DD,,,,1750,JPN,
,,Yūgumo,DD,,,,2520,JPN,
,,Mutsuki,DD,,,,1315,JPN,
,,Glorious,CV,,,,22400,ENG,
,,Furutaka,CA,,,,9150,JPN,
,,F,DD,,,,1405,ENG,
,,Fusō,dreadnought,,,,34700,JPN,
,,Q,DD,,,,1692,ENG,
,,New Orleans,CA,,,,9375,USA,
,,Baltimore,CA,,,,13600,USA,
,,P,DD,,,,1690,ENG,
,,Parthian,SS,,,,2070,ENG,
,,Rosario,GB,,,,1055,Argentine Navy,
,,Courbet,dreadnought,,,,23475,French Navy  Royal Navy,
,,P,SL,,,,623,Royal Indian Navy,
,,Patia,fighter catapult ship,,,,5355,ENG,
,,Patria,GB,,,,1200,Cuba,
,,Patroclus,armed merchant cruiser,,,,11314,ENG,
,,Herluf Trolle,coastal defence ship,,,,3494,Royal Danish Navy,
,,Pegasus,fighter catapult ship,,,,7080,ENG,
,,Pennsylvania,BB,,,,33000,USA,
,,Flower,K,,,,925,Royal Navy } United States Navy,
,,Colossus,aircraft maintenance carrier,,,,13200,ENG,
,,Admiral Hipper,CA,,,,14680,Soviet Navy,
,,Brooklyn,CL,,,,10200,USA,
,,Admiralen,DD,,,,1337,Royal Netherlands Navy,
,,Ping Hai,CL,,,,2200,Republic of China Navy,
,,Pinguin,Auxiliary cruiser,,,,17600,GER,
,,N,DD,,,,1690,Polish Navy,
,,Pluton,minelayer light cruiser,,,,4773,FRA,
,,Zara,CA,,,,11730,Regia Marina,
,,Portland,CA,,,,9950,USA,
,,Flower,K,,,,925,Royal Navy  Royal Norwegian Navy,
,,Pretoria Castle,armed merchant cruiser,,,,23450,ENG,
,,Prince David,armed merchant cruiser,,,,5736,Royal Canadian Navy,
,,Prince Henry,armed merchant cruiser,,,,6893,Royal Canadian Navy,
,,Prince Robert,armed merchant cruiser,,,,6892,Royal Canadian Navy,
,,Prins van Oranje,CM,,,,1291,Royal Netherlands Navy,
,,Bretagne,BB,,,,22200,FRA,
,,Prunella,Special Service Ship,,,,4443,ENG,
,,Attacker,CVE,,,,11400,ENG,
,,Rapana,merchant aircraft carrier,,,,8000,Netherlands,
,,G,DD,,,,1335,ENG,
,,Fiji,CL,,,,8000,Royal Navy  Royal New Zealand Navy,
,,Wickes,minelayer destroyer,,,,1090,USA,
,,G,DD,,,,1335,Royal Navy  Polish Navy,
,,Giuseppe Garibaldi,armored cruiser,,,,6100,Argentine Navy,
,,La Galissonnière,CL,,,,7600,French Navy  Free French Naval Forces,
,,Town,DD,,,,1200,Royal Navy  Royal Canadian Navy  Soviet Navy,
,,Pisa,armored cruiser,,,,9450,Hellenic Navy,
,,Giussano,CL,,,,5200,Regia Marina,
,,G,DD,,,,1350,ENG,
,,Conte di Cavour,dreadnought,,,,26140,Regia Marina,
,,Duca degli Abruzzi,CL,,,,9195,Regia Marina,
,,Giuseppe Miraglia,seaplane tender,,,,4965,Regia Marina,
,,Glorious,CV,,,,22500,ENG,
,,Colossus,CV,,,,13200,ENG,
,,Town,CL,,,,9400,ENG,
,,Captain,FF,,,,1150,ENG,
,,Zara,CA,,,,11900,Regia Marina,
,,Graf Zeppelin,CV,,,,23200,GER,
,,Type VIIC,SS,,,,769,Kriegsmarine  Royal Navy,
,,U,DD,,,,1777,ENG,
,,G,DD,,,,1350,Royal Navy  Royal Canadian Navy,
,,Grom,DD,,,,1975,Polish Navy,
,,Gryf,CM,,,,2085,Polish Navy,
,,Alaska,"battlecruiser (""large cruiser"")",,,,27500,USA,
,,Type 37,torpedo boat,,,,1098,GER,
,,Taihō,CV,,,,29300,JPN,
,,Taiyō,CVE,,,,18116,JPN,
,,Takao,CA,,,,13160,JPN,
,,Tannenberg,CM,,,,1098,GER,
,,Magdeburg,CL,,,,3184,Regia Marina,
,,Tarmo,escort and icebreaker,,,,2300,Finland,
,,Tenryu,CL,,,,4350,JPN,
,,Wickes,DD,,,,1060,USA,
,,T,DD,,,,1710,ENG,
,,Tennessee,BB,,,,33190,USA,
,,Tenryū,CL,,,,4350,JPN,
,,River,FF,,,,1370,Royal Navy  South African Navy,
,,Thonburi,coastal defence ship,,,,2265,Royal Thai Navy,
,,Thor,MC,,,,9200,GER,
,,Bismarck,BB,,,,42900,GER,
,,N,DD,,,,1760,Royal Netherlands Navy,
,,Togo,Night fighter direction vessel,,,,12700,GER,
,,Asama,armored cruiser,,,,9700,JPN,
,,Tone,CA,,,,15200,JPN,
,,Transylvania,armed merchant cruiser,,,,16923,ENG,
,,Trento,CA,,,,10511,Regia Marina,
,,Tromp,light cruiser/flotilla leader,,,,3455,Royal Netherlands Navy,
,,Tsingtau,Supply escort and Schnellboot tender,,,,2490,GER,
,,Fu An,gunship,,,,1900,Republic of China Navy,
,,Castle-class corvette,K,,,,1010,Royal Norwegian Navy,
,,Grampus,SS,,,,1810,ENG,
,,C,DD,,,,1710,ENG,
,,C,CL,,,,4200,ENG,
,,Antioquia,DD,,,,1219,Colombian National Navy,
,,C,CL,,,,4180,ENG,
,,Tennessee,BB,,,,32600,USA,
,,Nairana,CVE,,,,13000,ENG,
,,County,CA,,,,9850,Royal Australian Navy,
,,Cannon,DE,,,,1240,United States Navy  Brazilian Navy,
,,Casablanca,CVE,,,,10400,USA,
,,Capitan O'Brien,SS,,,,2020,CHL,
,,Captor,Q-ship,,,,319,USA,
,,Bogue,CVE,,,,9800,USA,
,,C,CL,,,,4290,ENG,
,,Carinthia,Armed Merchant Cruiser,,,,20277,ENG,
,,Gleaves,DE,,,,1630,USA,
,,Flower,K,,,,925,Royal Navy  Royal Netherlands Navy,
,,Cannon,DE,,,,1240,USA,
,,Tribal,DD,,,,1850,Royal Canadian Navy,
,,Butler,DE,,,,1350,USA,
,,Cervantes,DD,,,,1522,Argentine Navy,
,,Presidente Errazuriz,protected cruiser,,,,4500,CHL,
,,Clemson,DAM,,,,1200,USA,
,,Chao Ho,C,,,,2750,Republic of China Navy,
,,Avenger,CVE,,,,8200,USA,
,,Flower modified,K,,,,1015,Royal Navy  Royal Indian Navy,
,,Avenger,CVE,,,,11400,ENG,
,,P,Special Service ship,,,,610,ENG,
,,Town,DD,,,,1190,Royal Navy  Royal Canadian Navy  Soviet Navy,
,,Sangamon,CVE,,,,11400,USA,
,,Svetlana,CL,,,,7600,Soviet Navy,
,,Wickes,DD,,,,1190,USA,
,,Chitose,CVL,,,,11190,JPN,
,,Town,DD,,,,1190,Royal Navy  Soviet Navy,
,,Takao,CA,,,,15781,JPN,
,,Cleveland,CL,,,,10000,USA,
,,Clive,SL,,,,2083,Royal Indian Navy,
,,River,SS,,,,2206,ENG,
,,C,DD,,,,1885,ENG,
,,A,destroyer leader,,,,1350,ENG,
,,Town,DD,,,,1060,Royal Canadian Navy,
,,Hunt,DE,,,,1050,Free French Naval Forces,
,,Commencement Bay,CVE,,,,11373,USA,
,,D,CL,,,,4850,Royal Navy  Polish Navy,
,,Casablanca,CVE,,,,9600,USA,
,,Cornwallis,SL,,,,1290,Royal Indian Navy,
,,Coronel,MC,,,,12700,GER,
,,Courbet,dreadnought,,,,23200,French Navy  Free French Naval Forces,
,,C,DD,,,,1900,Royal Canadian Navy,
,,Cuba,SL,,,,2055,Cuba,
,,C-class light cruiser,,,,,4290,ENG,
,,U,SS,,,,540,Royal Navy  Free French Naval Forces,
,,Cyprus,Special Service Ship,,,,4398,ENG,
,,Wickes,DD,,,,1190.0,USA,
,,Maracaibo,LST,,,,4193.0,ENG,
,,Fletcher,DD,,,,2050.0,USA,
,,Hunt,DE,,,,1050.0,Royal Navy  Royal Norwegian Navy,
,,Bahia-class light cruiser,,,,,3100.0,Brazilian Navy,
,,Commencement Bay,CVE,,,,10200.0,USA,
,,Cannon,DE,,,,1240.0,USA,
,,Porter,DD,,,,1850.0,USA,
,,Baltimore-class heavy cruiser,,,,,17200.0,USA,
,,Admiralen class,DD,,,,1337.0,Royal Netherlands Navy,
,,Gato-class submarine,,,,,2460.0,USA,
,,Buckley,DE,,,,1400.0,USA,
,,Queen Elizabeth,BB,,,,31000.0,ENG,
,,CL,,,,,3284.0,Regia Marina,
,,Battle,DD,,,,2325.0,ENG,
,,Bogue,CVE,,,,11400.0,USA,
,,Giussano-class light cruiser,,,,,5200.0,Regia Marina,
,,Sumner,DD,,,,2200.0,USA,
,,B,DD,,,,1350.0,ENG,
,,Tribal,DD,,,,2020.0,Royal Australian Navy,
,,Independence,CVL,,,,11000.0,USA,
,,Town,DD,,,,1190.0,Royal Navy  Royal Norwegian Navy,
,,Attacker,CVE,,,,10000.0,ENG,
,,Cannon,DE,,,,1240.0,United States  Brazilian Navy,
,,Béarn,CV,,,,22150.0,French Navy  Free French Naval Forces,
,,Hunt,DE,,,,1000.0,ENG,
,,Evarts,DE,,,,1140.0,USA,
,,Tribal,DD,,,,2020.0,ENG,
,,Flower,K,,,,925.0,Royal Navy  United States Navy,
,,Town-class cruiser,,,,,11553.0,ENG,
,,Town,DD,,,,1200.0,ENG,
,,Hunt,DE,,,,1050.0,ENG,
,,Bathurst,K,,,,1025.0,Royal Indian Navy,
,,Gearing,DD,,,,2250.0,USA,
,,Essex,CV,,,,30800.0,USA,
,,Fiji-class cruiser,,,,,8000.0,ENG,
,,Flower modified,K,,,,1015.0,Royal Navy  Royal Indian Navy,
,,Shoreham,SL,,,,1105.0,ENG,
,,Big Horn,Q-ship,,,,,USA,
,,Cleveland-class light cruiser,,,,,11800.0,USA,
,,Southampton-class light cruiser,,,,,9770.0,ENG,
,,Bismarck,BB,,,,41700.0,GER,
,,Attacker,CVE,,,,8200.0,ENG,
,,Flower,K,,,,925.0,Royal Navy  Royal Canadian Navy,
,,Butler,DE,,,,1350.0,USA,
,,Dido-class light cruiser,,,,,5950.0,ENG,
,,Edsall,DE,,,,1250.0,USA,
,,C,,,,,3435.0,CHL,
,,Bogue,CVE,,,,9800.0,USA,
,,Commencement Bay,CVE,,,,14400.0,USA,
,,Admiral Hipper-class heavy cruiser,,,,,14000.0,GER,
,,Grom,DD,,,,1975.0,Poland,
,,Wickes,DAM,,,,1190.0,USA,
,,Brooklyn-class light cruiser,,,,,9950.0,USA,
,,Trento class heavy cruiser,,,,,10511.0,Regia Marina,
,,B,DD,,,,1350.0,Royal Navy  Hellenic Navy,
,,Boxer,LST,,,,3620.0,ENG,
,,Ticonderoga,CV,,,,30800.0,USA,
,,River,FF,,,,1370.0,Royal Navy  Free French Naval Forces,
,,Brandenburg,CM,,,,3894.0,GER,
,,Hunt,DE,,,,1175.0,ENG,
,,Wickes,minelayer destroyer,,,,1190.0,USA,
,,Bretagne,BB,,,,22200.0,FRA,
,,Bogue,CVE,,,,7800.0,USA,
,,Town,DD,,,,1200.0,Royal Navy  Soviet Navy,
,,Flower modified,K,,,,1015.0,USA,
,,Brummer,CM,,,,1924.0,GER,
,,Brutus,Special Service Ship,,,,5945.0,ENG,
,,Haskell class attack transport,,,,,536.0,USA,
,,Buenos Aires,DD,,,,1375.0,Argentine Navy,
,,Wicher,DD,,,,1400.0,Poland,
,,Town,DD,,,,1215.0,Royal Navy  Royal Canadian Navy,
,,Type IA,SS,,,,982,GER,
,,Type IX,SS,,,,1152,GER,
,,Type IXB,SS,,,,1178,GER,
,,Type IXC,SS,,,,1232,GER,
,,Type IXC/40,SS,,,,1257,GER,
,,Type IXC/40,SS,,,,1257,Kriegsmarine  Royal Canadian Navy,
,,Type IXD,SS,,,,1799,GER,
,,Type XIV,"submarine tender (""Milchkuh"")",,,,1932,GER,
,,Type XXI,"submarine (""Elektroboot"")",,,,1819,GER,
,,H,training submarine,,,,441,GER,
,,Crown Colony,CL,,,,8800,Royal Navy  Royal Canadian Navy,
,,Buckley,DE,,,,1673,USA,
,,Unicorn,aircraft maintenance carrier,,,,16510,ENG,
,,Taiyō,CVE,,,,17830,JPN,
,,Utah,radio controlled target-ship and anti-aircraft training ship,,,,21825,USA,
,,Colossus,CV,,,,18300,ENG,
,,Tribal,DD,,,,2020,Royal Australian Navy,
,,Somers,destroyer leader,,,,1850,USA,
,,Wasp (I),CV,,,,14700,USA,
,,Colorado,BB,,,,31500,USA,
,,Wicher,DD,,,,1400,Polish Navy,
,,Wichita,CA,,,,10000,USA,
,,Widder,MC,,,,16800,GER,
,,Willem van der Zaan,CM,,,,1407,Royal Netherlands Navy,
,,Admiralty W,DD,,,,1188,ENG,
,,Robert H. Smith,minelayer destroyer,,,,2200.0,USA,
,,Abdiel,CM,,,,2650.0,ENG,
,,Roberts,BM,,,,8536.0,ENG,
,,John C. Butler,DE,,,,1350.0,USA,
,,Nagara,CL,,,,5088.0,JPN,
,,A,DD,,,,1350.0,ENG,
,,Rapana,merchant aircraft carrier,,,,8010.0,ENG,
,,Leander,CL,,,,7270.0,Royal Navy Royal New Zealand Navy,
,,Birmingham,CL,,,,5550.0,Royal Australian Navy,
,,Deutschland,C,,,,12103.0,GER,
,,Admiral Hipper,CA,,,,14000.0,GER,
,,Deutschland,C,,,,12100.0,GER,
,,Hunt,DE,,,,1050.0,Hellenic Navy,
,,Adventure,minelayer cruiser,,,,6850.0,ENG,
,,Aetos,DD,,,,1030.0,Hellenic Navy,
,,Agano,CL,,,,6650.0,JPN,
,,Leander,CL,,,,7220.0,ENG,
,,Amagi,CV,,,,36500.0,JPN,
,,Akizuki,DD,,,,2700.0,JPN,
,,South Dakota,BB,,,,35000.0,USA,
,,Alaska,"battlecruiser (""large cruiser"")",,,,27500.0,USA,
,,Albatross,seaplane carrier,,,,6350.0,ENG,
,,1923 Raubvogel-class torpedo boat,,,,,1290.0,GER,
,,Condottieri,CL,,,,5200.0,Regia Marina,
,,Alcantara,Armed merchant cruiser,,,,22181.0,ENG,
,,Clemson,DD,,,,1250.0,USA,
,,Allen M. Sumner,DD,,,,2200.0,USA,
,,Cannon,DE,,,,1240.0,United States Navy  Brazilian Navy,
,,Algérie,CA,,,,10000.0,FRA,
,,Cannon,DE,,,,1240.0,Free French Naval Forces,
,,V,DD,,,,2700.0,Royal Canadian Navy,
,,Veinticinco de Mayo,CA,,,,6800.0,Argentine Navy,
,,Almirante Lynch,DD,,,,1430.0,CHL,
,,Almirante Latorre,BB,,,,28550.0,CHL,
,,Capitan O'Brien,SS,,,,2020.0,CHL,
,,Bogue,CVE,,,,7900.0,USA,
,,Unryū,CV,,,,17150.0,JPN,
,,prototype,DD,,,,1350.0,ENG,
,,prototype,DD,,,,1173.0,ENG,
,,Black Swan,SL,,,,1350.0,ENG,
,,Amiral Murgescu,CM,,,,812.0,Romanian Naval Forces  Soviet Navy,
,,Anacapa,Q-ship,,,,7500.0,USA,
,,Andrea Doria,BB,,,,25920.0,Regia Marina,
,,Town,DD,,,,1190.0,Royal Canadian Navy,
,,King George V,BB,,,,35000.0,ENG,
,,Guadiana,DD,,,,1219.0,Colombian National Navy,
,,Antoine,Special Service Ship,,,,1030.0,ENG,
,,Aoba,CA,,,,5088.0,JPN,
,,Aquila,CV,,,,23500.0,Regia Marina,
,,Flower modified,K,,,,1015.0,Royal New Zealand Navy,
,,Äran,coastal defence ship,,,,3650.0,Swedish Navy,
,,Avenger,CVE,,,,8200.0,ENG,
,,Arcona,Floating anti-aircraft battery,,,,2657.0,GER,
,,Argus,CV,,,,14860.0,ENG,
,,Ariguani,fighter catapult ship,,,,,ENG,
,,Pennsylvania,BB,,,,32600.0,USA,
,,Wyoming,BB,,,,26100.0,USA,
,,Ark Royal,CV,,,,22000.0,ENG,
,,Condottieri,CL,,,,5316.0,Regia Marina,
,,PB,,,,,1640.0,Belgian Navy,
,,Myōkō,CA,,,,13300.0,JPN,
,,Flower modified,K,,,,1015.0,Royal Indian Navy,
,,C,DD,,,,1390.0,Royal Canadian Navy,
,,Asterion,Q-ship,,,,6610.0,USA,
,,New Orleans,CA,,,,9950.0,USA,
,,Takao,CA,,,,14616.0,JPN,
,,Tribal,DD,,,,2020.0,Royal Canadian Navy,
,,Atik,Q-ship,,,,6610.0,USA,
,,Atlantis,MC,,,,7862.0,GER,
,,Attacker,CVE,,,,11400.0,ENG,
,,Capitani Romani,CL,,,,3750.0,Regia Marina,
,,Northampton,CA,,,,9200.0,USA,
,,Aurora,C,,,,6731.0,Soviet Navy,
,,County,CA,,,,9850.0,Royal Australian Navy,
,,Fubuki,DD,,,,2090.0,JPN,
,,Farragut,DD,,,,1365.0,USA,
,,V7,river gunboat,,,,,Romanian Naval Forces,
,,Project 1125,river gunboat,,,,,Romanian Naval Forces,
,,Väinämöinen,coastal defence ship,,,,3900.0,Finnish Navy,
,,Admiralen,DD,,,,1680.0,Royal Netherlands Navy,
,,N,DD,,,,1801.0,Royal Netherlands Navy,
,,Van Kinsbergen,SL,,,,1760.0,Royal Netherlands Navy,
,,Admiralen,DD,,,,1337.0,Royal Netherlands Navy,
,,Vedenia,motor torpedo boat,,,,30.0,Romanian Naval Forces,
,,Sava,river monitor,,,,580.0,Royal Yugoslav Navy,
,,G,DD,,,,1350.0,Hellenic Navy  Kriegsmarine,
,,G,DD,,,,1350.0,Hellenic Navy,
,,Commencement Bay,CVE,,,,10900.0,USA,
,,V,DD,,,,1710.0,ENG,
,,Illustrious,CV,,,,23000.0,ENG,
,,Vosper,motor torpedo boat,,,,32.0,Romanian Naval Forces,
,,New Orleans,CA,,,,9400.0,USA,
,,Nairana,CVE,,,,13671.0,ENG,
,,Hawkins,repair ship,,,,9394.0,ENG,
,,Kirov,CA,,,,7880.0,Soviet Navy,
Eagle,ENG,,CV,22600,26 February 1924,sunk 11 August 1942,,,
Earle,USA,Gleaves,DD,1630,1 September 1942,"decommissioned 1947, scrapped 1970",,,
Eastview,Royal Canadian Navy,River,FF,1445,3 June 1944,paid off 17 January 1946,,,
Eberle,USA,Gleaves,DD,1630,4 December 1940,"Transferred to Greece, 22 January 1951, scrapped 1972",,,
Echo,Royal Navy  Hellenic Navy,E,DD,1405,22 October 1934,"to Greece as Navarion 5 April 1944, scrapped April 1956",,,
Edgehill,ENG,,Special Service Ship,4702,,sunk 29 June 1940,,,
Edinburgh,ENG,Town,CL,11500,6 July 1939,lost 2 May 1942,,,
Edison,USA,Gleaves,DD,1630,31 January 1941,"decommissioned 1946, scrapped 1966",,,
Edmundston,Royal Canadian Navy,Flower,K,925,21 October 1941,paid off 16 June 1945,,,
Edwards,USA,Gleaves,DD,1630,18 September 1942,"decommissioned 1946, scrapped 1973",,,
Effingham,ENG,Hawkins,CA,9750,2 July 1925,wrecked 18 May 1940,,,
Eggesford,ENG,Hunt,DE,1050,21 January 1943,paid off 1946,,,
Eglantine,Royal Norwegian Navy,Flower,K,925,29 August 1941,scrapped June 1969,,,
Eglinton,ENG,Hunt,DE,1000,28 August 1940,"paid off 1945, scrapped 1956",,,
Eidsvold,Royal Norwegian Navy,Eidsvold,coastal defence ship,4233,1 March 1901,sunk 9 April 1940,,,
El Amir Farouq,Egyptian Navy,,patrol vessel,1441,1936,sunk 22 October 1948,,,
El Dorado,USA,Mount McKinley,amphibious command ship,7350,25 August 1944,"Decommissioned 8 November 1972, scrapped 1976",,,
