modulename,category,gfx,add_equipment_type,manpower,critical_parts,dismantle_cost_ic,steel,rubber,aluminium,chromium
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_light_battery_5x4,ship_light_batteryx4,,,,,,,,,
build_cost_resources,,,,,,,1,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_GER_light_batteryx4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_FRA_light_batteryx4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ITA_light_batteryx4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_USA_light_battery_1x4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_USA_light_battery_2x4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ENG_light_battery_1x4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ENG_light_battery_2x4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ENG_light_battery_3x4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ENG_light_battery_4x4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_JAP_light_battery_1x4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_JAP_light_battery_2x4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_short_light_batteryx4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_short_light_battery_2x4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_oldest_light_batteryx4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
equipment_modules,ship_anti_air_rocket,,anti_air,,,,,,,
build_cost_resources,,,,,,,1,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_rocket_2,ship_anti_air_rocket,,anti_air,,,,,,,
build_cost_resources,,,,,,,1,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_missile_0,ship_anti_air_missile,,anti_air,,,,,,,
build_cost_resources,,,,,,,1,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_missile_1,ship_anti_air_missile,,anti_air,,,,,,,
build_cost_resources,,,,,,,1,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_missile_2,ship_anti_air_missile,,anti_air,,,,,,,
build_cost_resources,,,,,,,1,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_missile_3,ship_anti_air_missile,,anti_air,,,,,,,
build_cost_resources,,,,,,,1,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_missile_4,ship_anti_air_missile,,anti_air,,,,,,,
build_cost_resources,,,,,,,1,,,1
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_missile_5,ship_anti_air_missile,,anti_air,,,,,,,
build_cost_resources,,,,,,,1,,,1
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_ship_rocket_1,ship_anti_air,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_ship_rocket_2,ship_anti_air,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_ship_missile_0,ship_anti_ship_missile,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,1
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_ship_missile_1,ship_anti_ship_missile,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,1
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_ship_missile_2,ship_anti_ship_missile,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,2
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_ship_missile_3,ship_anti_ship_missile,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,2
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_ship_missile_4,ship_anti_ship_missile,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,3
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_ship_missile_5,ship_anti_ship_missile,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,3
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_submarine_rocket_1,ship_depth_charge,,,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_submarine_rocket_2,ship_depth_charge,,,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_submarine_missile_1,ship_anti_sub_missile,,,,,,,,,
can_convert_from,,,,,,,,,,
multiply_stats,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_submarine_missile_2,ship_anti_sub_missile,,,,,,,,,
can_convert_from,,,,,,,,,,
multiply_stats,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_submarine_missile_3,ship_anti_sub_missile,,,,,,,,,
can_convert_from,,,,,,,,,,
multiply_stats,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_submarine_missile_4,ship_anti_sub_missile,,,,,,,,,
can_convert_from,,,,,,,,,,
multiply_stats,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_vls_1,ship_vls,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
critical_parts,,,,,,,,,,
ship_vls_2,ship_vls,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
critical_parts,,,,,,,,,,
ship_vls_3,ship_vls,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
critical_parts,,,,,,,,,,
ship_pvls_1,ship_secondaries,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
critical_parts,,,,,,,,,,
equipment_modules,ship_torpedo_uw,,,,,,,,,
build_cost_resources,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_torpedo_uw_s,ship_torpedo_uw,,,,,,,,,
build_cost_resources,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_short_torpedo_uw,ship_torpedo_uw,,,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,0,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_short_torpedo_uw_s,ship_torpedo_uw,,,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,0,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
equipment_modules,ship_medium_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_medium_battery_2,ship_medium_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_medium_battery_3,ship_medium_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,,2,,,
can_convert_from,,,,,,,1,,,
critical_parts,,,,,,,,,,
ship_medium_battery_1,ship_medium_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_medium_battery_2,ship_medium_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_medium_battery_3,ship_medium_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,,2,,,
can_convert_from,,,,,,,1,,,
critical_parts,,,,,,,,,,
ship_medium_battery_4,ship_medium_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,,2,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_medium_battery_5,ship_medium_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,,2,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_USA_medium_battery_1,ship_medium_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_USA_medium_battery_2,ship_medium_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ENG_medium_battery_1,ship_medium_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ENG_medium_battery_2,ship_medium_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_GER_medium_battery,ship_medium_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,,2,,,
can_convert_from,,,,,,,1,,,
critical_parts,,,,,,,,,,
SM_MCT_200_L50,ship_medium_battery,,capital_ship,,,,,,,
build_cost_resources,,,,,,,10,,,10
multiply_stats,,,,,,,,,,
add_average_stats,,,,1000,,,,,,
critical_parts,,,,,,,,,,
sub_medium_battery_1,sub_medium_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,,2,,,
critical_parts,,,,,,,,,,
equipment_modules,SM_engine_ss,,,,,,,,,
add_stats,,,,,,,,,,
build_cost_resources,,,,,,,,,,
SM_engine_0,ship_engine,,,,,,,,,
add_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
SM_engine_1,ship_engine,,,,,,,,,
add_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
SM_engine_2,ship_engine,,,,,,,,,
add_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
SM_engine_3,ship_engine,,,,,,,,,
add_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,1,
SM_engine_4,ship_engine,,,,,,,,,
add_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,1,1
SM_engine_5,ship_engine,,,,,,,,,
add_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,1,1
SM_engine_6,ship_engine,,,,,,,,,
add_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,2,1
SM_engine_7,ship_engine,,,,,,,,,
add_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,3,1
SM_engine_8,ship_engine,,,,,,,,,
add_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,3,2
SM_engine_9,ship_engine,,,,,,,,,
add_stats,,,,,,,,,,
build_cost_resources,,,,,,,3,,3,2
SM_nuke_engine,ship_engine_n,,,,,,,,,
add_stats,,,,,,,,,,
build_cost_resources,,,,,,,3,1,3,3
critical_parts,,,,,,,,,,
equipment_modules,ship_anti_air,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_anti_air_2,ship_anti_air,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_anti_air_3,ship_anti_air,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_1,ship_anti_air,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_2,ship_anti_air,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_3,ship_anti_air,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_4,ship_anti_air,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_5,ship_anti_air,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_anti_air_1A,ship_anti_air,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_anti_air_2A,ship_anti_air,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
ship_old_anti_air_3A,ship_anti_air,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_anti_air_4A,ship_anti_air,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_anti_air_1x8,ship_anti_airx8,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_anti_air_2x8,ship_anti_airx8,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_anti_air_3x8,ship_anti_airx8,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_1x8,ship_anti_airx8,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_2x8,ship_anti_airx8,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_3x8,ship_anti_airx8,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_4x8,ship_anti_airx8,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_anti_air_5x8,ship_anti_airx8,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_anti_air_1Ax8,ship_anti_airx8,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_anti_air_2Ax8,ship_anti_airx8,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
ship_old_anti_air_3Ax8,ship_anti_airx8,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_anti_air_4Ax8,ship_anti_airx8,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_dp_Bofors_battery_1x8,ship_anti_airx8,ship_light_dp_battery_1,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
ship_dp_Bofors_battery_2x8,ship_anti_airx8,ship_light_dp_battery_1,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
ship_dp_Bofors_battery_3x8,ship_anti_airx8,ship_light_dp_battery_1,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
ship_ciws_1,ship_ciws,,anti_air,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
equipment_modules,ship_depth_charge,,,,,,,,,
can_convert_from,,,,,,,,,,
multiply_stats,,,,,,,,,,
critical_parts,,,,,,,,,,
SM_SH_DC_2,ship_depth_charge,,,,,,,,,
can_convert_from,,,,,,,,,,
multiply_stats,,,,,,,,,,
critical_parts,,,,,,,,,,
SM_SH_DC_3,ship_depth_charge,,,,,,,,,
can_convert_from,,,,,,,,,,
multiply_stats,,,,,,,,,,
critical_parts,,,,,,,,,,
SM_SH_DC_4,ship_depth_charge,,,,,,,,,
can_convert_from,,,,,,,,,,
multiply_stats,,,,,,,,,,
critical_parts,,,,,,,,,,
SM_SH_DC_5,ship_depth_charge,,,,,,,,,
can_convert_from,,,,,,,,,,
multiply_stats,,,,,,,,,,
critical_parts,,,,,,,,,,
SM_SH_DC_6,ship_depth_charge,,,,,,,,,
can_convert_from,,,,,,,,,,
multiply_stats,,,,,,,,,,
critical_parts,,,,,,,,,,
equipment_modules,ship_armor,,,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,-1,,,
sm_armor_0,ship_armor,,,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,,,1,
sm_armor_ms_1,ship_armor_ms,,,,,,,,,
multiply_stats,,,,,,,,,,
sm_armor_1,ship_armor,,,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
sm_armor_2,ship_armor,,,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
sm_armor_3,ship_armor,,,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,1
sm_armor_4,ship_armor,,,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,3,,,2
sm_armor_5,ship_armor,,,,,,,,,
build_cost_resources,,,,,,,4,,,2
sm_armor_5,ship_armor,,,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,4,,2,2
sm_armor_6,ship_armor,,,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,6,,3,4
sm_armor_ms_2,ship_armor_ms,,,,,,,,,
multiply_stats,,,,,,,,,,
sub_armor_1,sub_armor,,,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,,,1,
sub_armor_2,sub_armor,,,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,,1,,
sub_armor_3,sub_armor,,,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,,1,1,
ship_anechoic_tile,ship_sub_coating,ship_sub_anechoic_tile_1,,,,,,,,
build_cost_resources,,,,,,,,2,,
can_convert_from,,,,,,,,,,
ship_armor_carrier_deck,ship_carrier_armor,ship_armor,,,,,,,,
build_cost_resources,,,,,,,1,,,
add_stats,,,,,,,,,,
ship_armor_carrier_deck_2,ship_carrier_armor,ship_armor,,,,,,,,
build_cost_resources,,,,,,,1,,,
add_stats,,,,,,,,,,
ship_armor_carrier_deck_3,ship_carrier_armor,ship_armor,,,,,,,,
build_cost_resources,,,,,,,1,,,
add_stats,,,,,,,,,,
equipment_modules,SRM_AVs,SRM_AV,,,,,,,,
can_convert_from,,,,,,,1,,,
SRM_SV,SRM_AVs,,,,,,,,,
can_convert_from,,,,,,,1,,,
SRM_CV,SRM_CVs,,,,,,,,,
multiply_stats,,,carrier,,,,,,,
can_convert_from,,,,,,,1,,,
SRM_CVL,SRM_CVs,,missile_launcher,,,,,,,
multiply_stats,,,carrier,,,,,,,
can_convert_from,,,,,,,1,,,
SRM_CVE,SRM_CVs,,,,,,,,,
multiply_stats,,,carrier,,,,,,,
can_convert_from,,,,,,,1,,,
equipment_modules,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
ship_old_light_battery_1,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_light_battery_2,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_light_battery_3,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_light_battery_1,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_light_battery_2,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_light_battery_3,ship_light_battery,,,,,,,,,
add_average_stats,,,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_light_battery_4,ship_light_battery,,,,,,,,,
build_cost_resources,,,,,,,1,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_light_battery_5,ship_light_battery,,,,,,,,,
build_cost_resources,,,,,,,1,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_GER_light_battery,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_FRA_light_battery,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_JAP_light_battery_RR,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_USA_light_battery_1,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_USA_light_battery_2,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ENG_light_battery_1,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ENG_light_battery_2,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ENG_light_battery_3,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ENG_light_battery_4,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_JAP_light_battery_1,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_JAP_light_battery_2,ship_light_battery,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_short_light_battery,ship_light_battery,,,,,,,,,
